time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-01T01:38:16.371Z,-29.6435,-176.8696,22.5,4.7,mb,,92,0.992,0.86,us,us6000g82i,2021-12-01T01:59:17.040Z,Kermadec Islands region,earthquake,6.1,6.7,0.123,20,reviewed,us,us
2021-12-01T01:23:41.210Z,35.6763333,-117.5245,9.12,3.19,ml,44,69,0.103,0.13,ci,ci39875135,2021-12-01T21:11:58.206Z,"15km SW of Searles Valley, CA",earthquake,0.13,0.34,0.136,269,reviewed,ci,ci
2021-11-30T23:30:07.680Z,35.1573,141.6064,10,4.6,mb,,178,2.521,0.61,us,us6000g81t,2021-11-30T23:53:29.040Z,"94 km SE of Hasaki, Japan",earthquake,8.1,1.9,0.116,22,reviewed,us,us
2021-11-30T23:17:45.065Z,22.9471,121.7076,4.8,4.6,mb,,100,0.582,0.65,us,us6000g81m,2021-12-01T01:18:33.040Z,Taiwan region,earthquake,5.5,4.9,0.077,50,reviewed,us,us
2021-11-30T22:38:23.920Z,17.937,-66.8553,10,2.88,md,19,194,0.045,0.21,pr,pr2021334009,2021-11-30T22:51:15.947Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.57,0.53,0.24,9,reviewed,pr,pr
2021-11-30T22:20:53.903Z,27.164,53.2649,10,4.3,mb,,115,3.445,0.56,us,us6000g817,2021-12-01T00:00:58.040Z,"57 km SE of Mohr, Iran",earthquake,9.2,1.9,0.102,27,reviewed,us,us
2021-11-30T21:39:35.164Z,28.3881,104.969,10,4.7,mb,,72,4.376,0.57,us,us6000g80u,2021-11-30T22:17:53.040Z,"25 km ESE of Xunchang, China",earthquake,3.6,1.9,0.08,47,reviewed,us,us
2021-11-30T21:20:52.803Z,31.67953464,-104.4051758,7.494091797,3.3,ml,19,69,0.082225578,0.2,tx,tx2021xmau,2021-11-30T21:53:42.756Z,"55 km S of Whites City, New Mexico",earthquake,1.172534204,1.718476605,0.2,12,reviewed,tx,tx
2021-11-30T21:14:40.880Z,17.9833,-67.0006,8,2.9,md,21,150,0.0458,0.24,pr,pr2021334008,2021-11-30T21:29:02.731Z,"4 km E of La Parguera, Puerto Rico",earthquake,0.46,0.78,0.28,18,reviewed,pr,pr
2021-11-30T21:06:36.966Z,31.6566,-104.38,5,2.6,ml,,62,0.103,0.45,us,us6000g80b,2021-11-30T23:27:05.040Z,"57 km S of Whites City, New Mexico",earthquake,1.1,1.9,0.069,58,reviewed,us,us
2021-11-30T20:49:11.306Z,31.1432,142.5861,10,4.9,mb,,93,3.065,0.89,us,us6000g807,2021-11-30T21:10:02.040Z,"Izu Islands, Japan region",earthquake,9.6,1.9,0.046,156,reviewed,us,us
2021-11-30T20:38:47.017Z,31.1819,142.3725,10,4.6,mb,,96,6.087,0.49,us,us6000g80f,2021-11-30T21:19:04.040Z,"Izu Islands, Japan region",earthquake,11.4,1.9,0.08,49,reviewed,us,us
2021-11-30T20:31:29.650Z,17.9696,-66.7893,18,2.74,md,14,163,0.0901,0.17,pr,pr2021334007,2021-11-30T20:58:34.350Z,Puerto Rico region,earthquake,0.49,0.54,0.3,8,reviewed,pr,pr
2021-11-30T20:09:36.020Z,43.2559,-126.9213,10,3,ml,,235,1.665,0.65,us,us6000g7zq,2021-11-30T22:46:34.040Z,"204 km W of Langlois, Oregon",earthquake,9.2,2,0.038,89,reviewed,us,us
2021-11-30T19:37:34.756Z,44.9932,-113.0791,9.37,3.3,ml,,22,0.232,0.68,us,us6000g7ze,2021-11-30T22:09:31.360Z,"41 km NNE of Leadore, Idaho",earthquake,2,8.4,0.033,124,reviewed,us,us
2021-11-30T19:04:25.810Z,17.9516,-66.9306,5,2.55,md,7,211,0.0565,0.11,pr,pr2021334006,2021-11-30T19:43:43.564Z,"3 km SW of Guánica, Puerto Rico",earthquake,0.51,0.38,0.28,5,reviewed,pr,pr
2021-11-30T18:36:03.380Z,18.93216667,-155.3385,44.27,2.89,md,48,242,,0.13,hv,hv72817797,2021-11-30T22:52:17.550Z,"Hawaii region, Hawaii",earthquake,0.58,0.82,0.08432851,19,reviewed,hv,hv
2021-11-30T18:27:38.502Z,31.1598,142.2631,10,5,mb,,29,2.849,0.83,us,us6000g7z5,2021-11-30T18:50:01.040Z,"Izu Islands, Japan region",earthquake,7.6,1.7,0.041,203,reviewed,us,us
2021-11-30T18:02:56.173Z,36.472,70.7294,197.08,4.2,mb,,73,0.663,1.2,us,us6000g7yx,2021-11-30T18:57:49.040Z,"44 km SSW of Jurm, Afghanistan",earthquake,4.9,5.1,0.1,31,reviewed,us,us
2021-11-30T17:52:19.760Z,17.9951,-66.7335,11,3.29,md,25,144,0.1359,0.21,pr,pr2021334005,2021-12-01T03:44:51.752Z,"1 km W of Tallaboa, Puerto Rico",earthquake,0.38,0.29,0.18,18,reviewed,pr,pr
2021-11-30T17:35:38.014Z,13.7164,120.8572,137.92,4.6,mb,,55,9.054,0.89,us,us6000g7xq,2021-11-30T23:18:23.004Z,"3 km WNW of Bagalangit, Philippines",earthquake,10.2,6.7,0.059,93,reviewed,us,us
2021-11-30T17:30:59.844Z,62.4626,-148.877,35,3.3,ml,,,,0.61,ak,ak021fcnsuak,2021-11-30T20:13:54.040Z,"60 km ENE of Susitna North, Alaska",earthquake,,5.9,,,automatic,ak,ak
2021-11-30T17:08:03.465Z,61.5148,-140.7256,3.29,2.5,ml,,61,0.642,0.5,us,us6000g7xb,2021-11-30T19:28:07.040Z,"117 km E of McCarthy, Alaska",earthquake,2.1,8.1,0.036,102,reviewed,us,us
2021-11-30T16:50:02.950Z,18.88583333,-155.2203333,6.17,2.77,ml,48,257,,0.16,hv,hv72817682,2021-11-30T22:03:07.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.4,0.44,0.201078336,16,reviewed,hv,hv
2021-11-30T16:07:02.280Z,37.1636658,-121.5575027,1.36,2.74,md,50,37,0.05508,0.1,nc,nc73660155,2021-12-01T16:01:51.260Z,"9km ENE of Morgan Hill, CA",earthquake,0.19,0.69,0.12,70,automatic,nc,nc
2021-11-30T16:02:53.956Z,36.2001,140.2328,71.56,4.9,mb,,190,1.668,0.49,us,us6000g7x3,2021-11-30T17:08:17.040Z,"3 km WNW of Ishioka, Japan",earthquake,10.7,9.8,0.14,19,reviewed,us,us
2021-11-30T16:00:45.340Z,17.9618,-67.011,10,3.02,md,26,185,0.0341,0.18,pr,pr2021334004,2021-11-30T16:55:33.040Z,"4 km ESE of La Parguera, Puerto Rico",earthquake,0.51,0.38,0.15,15,reviewed,pr,pr
2021-11-30T15:55:36.507Z,35.1816,141.5267,10,4.6,mb,,138,2.503,0.57,us,us6000g7x1,2021-11-30T16:41:22.040Z,"87 km SE of Hasaki, Japan",earthquake,7.8,1.9,0.126,23,reviewed,us,us
2021-11-30T15:41:11.295Z,31.1773,142.2848,10,4.7,mb,,92,2.85,0.36,us,us6000g7ww,2021-11-30T16:26:57.040Z,"Izu Islands, Japan region",earthquake,9.6,1.9,0.063,80,reviewed,us,us
2021-11-30T15:03:31.570Z,18.834,-155.1976667,9.73,3.49,ml,50,266,,0.17,hv,hv72817622,2021-12-01T15:04:59.166Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.69,0.156109129,37,reviewed,hv,hv
2021-11-30T14:20:22.130Z,38.3737,22.2132,10,4.6,mb,,80,0.653,0.67,us,us6000g7wf,2021-11-30T19:47:47.040Z,"14 km W of Galaxídhion, Greece",earthquake,4.8,1.9,0.114,26,reviewed,us,us
2021-11-30T13:53:41.677Z,31.7789,87.9411,10,5.4,mb,,35,3.931,0.83,us,us6000g7wd,2021-12-01T13:56:52.324Z,"294 km NNW of Rikaze, China",earthquake,8.2,1.8,0.043,192,reviewed,us,us
2021-11-30T13:46:52.279Z,-3.539,151.1354,10,4.9,mb,,38,1.213,0.31,us,us6000g7wc,2021-11-30T14:36:55.040Z,"113 km SSE of Kavieng, Papua New Guinea",earthquake,5.4,1.9,0.119,25,reviewed,us,us
2021-11-30T12:41:09.472Z,58.8359,-152.8756,48.8,3.3,ml,,,,0.52,ak,ak021fckvx9v,2021-11-30T15:17:10.040Z,"79 km SW of Nanwalek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-30T12:16:32.908Z,-11.2962,118.1941,10,4.2,mb,,91,4.78,0.52,us,us6000g7w3,2021-11-30T12:57:26.040Z,"290 km SW of Waingapu, Indonesia",earthquake,9,2,0.236,5,reviewed,us,us
2021-11-30T12:14:34.418Z,-3.5445,151.3439,10,5.8,mww,,60,1.04,0.89,us,us6000g7w4,2021-12-01T12:17:55.107Z,"116 km NW of Rabaul, Papua New Guinea",earthquake,7.1,1.8,0.075,17,reviewed,us,us
2021-11-30T11:37:13.280Z,17.9795,-67.004,10,2.7,md,20,155,0.0415,0.15,pr,pr2021334003,2021-11-30T11:52:24.629Z,"4 km E of La Parguera, Puerto Rico",earthquake,0.45,0.59,0.16,10,reviewed,pr,pr
2021-11-30T11:14:41.125Z,-24.7136,-69.6022,133.22,4.3,mb,,67,0.734,0.77,us,us6000g7vh,2021-11-30T12:19:13.040Z,"117 km NE of Taltal, Chile",earthquake,6.8,8.5,0.201,7,reviewed,us,us
2021-11-30T11:14:07.887Z,-3.6027,151.0822,10,5,mb,,70,1.227,0.63,us,us6000g7vl,2021-11-30T16:29:56.414Z,"118 km SSE of Kavieng, Papua New Guinea",earthquake,7.9,1.9,0.083,49,reviewed,us,us
2021-11-30T11:10:41.928Z,32.2147,142.1167,10,4.9,mb,,206,2.139,0.44,us,us6000g7vj,2021-11-30T11:57:33.040Z,"Izu Islands, Japan region",earthquake,10,1.9,0.176,10,reviewed,us,us
