time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-30 23:17:45.065000+00:00,22.9471,121.7076,4.8,4.6,mb,100.0,0.5820000000000001,0.65,us,us6000g81m,2021-12-01 01:18:33.040000+00:00,Taiwan region,earthquake,5.5,4.9,0.077,50.0,reviewed,us,us
2021-11-30 22:38:23.920000+00:00,17.937,-66.8553,10.0,2.88,md,194.0,0.045,0.21,pr,pr2021334009,2021-11-30 22:51:15.947000+00:00,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.57,0.53,0.24,9.0,reviewed,pr,pr
2021-11-30 22:20:53.903000+00:00,27.164,53.2649,10.0,4.3,mb,115.0,3.445,0.56,us,us6000g817,2021-12-01 00:00:58.040000+00:00,"57 km SE of Mohr, Iran",earthquake,9.2,1.9,0.102,27.0,reviewed,us,us
2021-11-30 21:39:35.164000+00:00,28.3881,104.969,10.0,4.7,mb,72.0,4.376,0.57,us,us6000g80u,2021-11-30 22:17:53.040000+00:00,"25 km ESE of Xunchang, China",earthquake,3.6,1.9,0.08,47.0,reviewed,us,us
2021-11-30 21:20:52.803000+00:00,31.67953464,-104.4051758,7.494091797,3.3,ml,69.0,0.082225578,0.2,tx,tx2021xmau,2021-11-30 21:53:42.756000+00:00,"55 km S of Whites City, New Mexico",earthquake,1.172534204,1.718476605,0.2,12.0,reviewed,tx,tx
2021-11-30 21:14:40.880000+00:00,17.9833,-67.0006,8.0,2.9,md,150.0,0.0458,0.24,pr,pr2021334008,2021-11-30 21:29:02.731000+00:00,"4 km E of La Parguera, Puerto Rico",earthquake,0.46,0.78,0.28,18.0,reviewed,pr,pr
2021-11-30 21:06:36.966000+00:00,31.6566,-104.38,5.0,2.6,ml,62.0,0.10300000000000001,0.45,us,us6000g80b,2021-11-30 23:27:05.040000+00:00,"57 km S of Whites City, New Mexico",earthquake,1.1,1.9,0.069,58.0,reviewed,us,us
2021-11-30 20:49:11.306000+00:00,31.1432,142.5861,10.0,4.9,mb,93.0,3.065,0.89,us,us6000g807,2021-11-30 21:10:02.040000+00:00,"Izu Islands, Japan region",earthquake,9.6,1.9,0.046,156.0,reviewed,us,us
2021-11-30 20:38:47.017000+00:00,31.1819,142.3725,10.0,4.6,mb,96.0,6.087000000000001,0.49,us,us6000g80f,2021-11-30 21:19:04.040000+00:00,"Izu Islands, Japan region",earthquake,11.4,1.9,0.08,49.0,reviewed,us,us
2021-11-30 20:31:29.650000+00:00,17.9696,-66.7893,18.0,2.74,md,163.0,0.0901,0.17,pr,pr2021334007,2021-11-30 20:58:34.350000+00:00,Puerto Rico region,earthquake,0.49,0.54,0.3,8.0,reviewed,pr,pr
2021-11-30 20:09:36.020000+00:00,43.2559,-126.9213,10.0,3.0,ml,235.0,1.665,0.65,us,us6000g7zq,2021-11-30 22:46:34.040000+00:00,"204 km W of Langlois, Oregon",earthquake,9.2,2.0,0.038,89.0,reviewed,us,us
2021-11-30 19:37:34.756000+00:00,44.9932,-113.0791,9.37,3.3,ml,22.0,0.23199999999999998,0.68,us,us6000g7ze,2021-11-30 22:09:31.360000+00:00,"41 km NNE of Leadore, Idaho",earthquake,2.0,8.4,0.033,124.0,reviewed,us,us
